fuel,dil,T_low,T_high,T_star
Ethane,0.0,1671.8467767397112,1767.7464016119268,1719.796589175819
Ethane,0.25,1573.5589533872494,1711.015664780118,1642.2873090836838
Ethane,0.5,1560.4096200814326,1727.5865007389416,1643.998060410187
Ethane,0.6,1516.4460293900768,1713.1965081361614,1614.821268763119
Ethane,0.67,1549.5022497373475,1623.05844798634,1586.2803488618438
Ethane,0.8,1443.65021181885,1625.2775763578215,1534.4638940883358
Ethane,0.85,1414.286379873588,1446.9081288567786,1430.5972543651833
Ethylene,0.0,1769.8153840768236,1942.2120740078972,1856.0137290423604
Ethylene,0.25,1651.6232778691444,1801.93706462406,1726.780171246602
Ethylene,0.5,1576.532464128131,1808.7475565014581,1692.6400103147946
Ethylene,0.67,1444.7951241589021,1771.9614010763862,1608.3782626176442
Ethylene,0.8,1590.1129640393972,1819.8705216398998,1704.9917428396484
Ethylene,0.85,1628.1462218163454,1680.7508136050624,1654.448517710704
Ethylene,0.9,1499.5703711924073,1499.5703711924073,1499.5703711924073
